Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2018.884711720352,Phishing,Education,388.0,382.0,Hacker Group,Unpatched Software,VPN,458.0
China,2018.9398477392488,Ransomware,Retail,270.0,309.0,Hacker Group,Unpatched Software,Firewall,344.0
India,2016.7273945950485,Man-in-the-Middle,IT,215.0,257.0,Hacker Group,Weak Passwords,VPN,359.0
UK,2024.0987007065323,Ransomware,Telecommunications,372.0,381.0,Nation-state,Social Engineering,Unknown,306.0
Germany,2018.0820984474592,Man-in-the-Middle,IT,280.0,273.0,Insider,Social Engineering,VPN,438.0
Germany,2017.1198261406928,Man-in-the-Middle,Retail,168.0,231.0,Unknown,Social Engineering,Antivirus,296.0
Germany,2019.8447405752568,DDoS,Telecommunications,,318.0,Insider,Unpatched Software,VPN,
France,2018.1956087001377,SQL Injection,Government,349.0,335.0,Unknown,Social Engineering,Antivirus,481.0
India,2016.1424146885763,Man-in-the-Middle,Banking,231.0,247.0,Unknown,Social Engineering,VPN,410.0
UK,2023.2262345539864,DDoS,Healthcare,427.0,405.0,Hacker Group,Unpatched Software,Firewall,432.0
China,2019.5400771192933,Phishing,Telecommunications,237.0,284.0,Unknown,Zero-day,VPN,298.0
China,2015.899061027864,SQL Injection,Healthcare,222.0,316.0,Hacker Group,Unknown,Unknown,292.0
India,2018.7933655146803,Unknown,Education,287.0,,Insider,Zero-day,Firewall,342.0
France,2023.061494672452,DDoS,Healthcare,350.0,359.0,Nation-state,Unpatched Software,AI-based Detection,319.0
France,2023.7795289793585,DDoS,IT,557.0,526.0,Unknown,Social Engineering,Encryption,463.0
Australia,2022.006279680946,Phishing,Unknown,286.0,332.0,Nation-state,Zero-day,Encryption,279.0
Russia,2016.864646807624,Man-in-the-Middle,Healthcare,294.0,312.0,Hacker Group,Unpatched Software,AI-based Detection,432.0
India,2014.9263826532324,DDoS,IT,,,Insider,Social Engineering,Encryption,342.0
UK,2019.031840049084,Malware,Telecommunications,264.0,298.0,Insider,Social Engineering,Firewall,342.0
India,2015.8965439259443,DDoS,IT,67.0,154.0,Nation-state,Social Engineering,AI-based Detection,237.0
Brazil,2014.93499851799,Ransomware,Retail,,310.0,Unknown,Weak Passwords,Antivirus,342.0
France,2019.8447405752568,Ransomware,Education,287.0,,Insider,Social Engineering,VPN,252.0
India,2016.7702067888924,DDoS,Government,161.0,227.0,Nation-state,Unknown,Firewall,287.0
Japan,2021.779790099867,Phishing,Telecommunications,280.0,359.0,Nation-state,Weak Passwords,Antivirus,212.0
Brazil,2022.8267535602704,DDoS,Telecommunications,436.0,466.0,Unknown,Social Engineering,VPN,343.0
China,2021.03703350718,Phishing,Retail,375.0,399.0,Insider,Zero-day,AI-based Detection,372.0
Japan,2022.221589250301,Malware,Education,399.0,415.0,Nation-state,Unpatched Software,VPN,368.0
Japan,2022.207885859736,Ransomware,Banking,413.0,418.0,Insider,Unpatched Software,Encryption,382.0
France,2020.1552960355448,Malware,Unknown,274.0,306.0,Unknown,Social Engineering,Antivirus,315.0
Australia,2014.880183075448,DDoS,Government,257.0,264.0,Hacker Group,Zero-day,Encryption,454.0
UK,2021.8619427303488,SQL Injection,Education,318.0,358.0,Hacker Group,Social Engineering,AI-based Detection,305.0
France,2019.9967549872488,Malware,Telecommunications,229.0,293.0,Hacker Group,Zero-day,AI-based Detection,262.0
India,2015.0928114566725,SQL Injection,IT,126.0,167.0,Unknown,Unpatched Software,Encryption,340.0
Japan,2022.229923745891,Phishing,Banking,402.0,416.0,Nation-state,Zero-day,Unknown,356.0
Brazil,2022.9503620979,Phishing,Healthcare,341.0,396.0,Nation-state,Weak Passwords,VPN,265.0
Brazil,2019.9772921956896,Phishing,Unknown,316.0,344.0,Hacker Group,Zero-day,Unknown,365.0
China,2020.198346029412,Man-in-the-Middle,Education,,318.0,Nation-state,Zero-day,Firewall,342.0
Japan,2020.768671371317,SQL Injection,Retail,287.0,279.0,Insider,Unpatched Software,Encryption,
USA,2022.183621029504,DDoS,Retail,370.0,379.0,Insider,Weak Passwords,AI-based Detection,352.0
Brazil,2016.1576410458804,DDoS,Education,144.0,183.0,Nation-state,Unpatched Software,VPN,327.0
Russia,2015.0981493970448,DDoS,Telecommunications,90.0,205.0,Unknown,,AI-based Detection,235.0
India,,SQL Injection,IT,287.0,318.0,Nation-state,Zero-day,VPN,445.0
UK,2019.8447405752568,Man-in-the-Middle,Retail,287.0,,Nation-state,Unpatched Software,Encryption,463.0
USA,2016.8580530711288,DDoS,IT,234.0,262.0,Hacker Group,Zero-day,VPN,375.0
Australia,2019.9648974281608,DDoS,Banking,326.0,357.0,Insider,Weak Passwords,Antivirus,349.0
France,2021.893968717132,Malware,Healthcare,407.0,400.0,Unknown,Weak Passwords,AI-based Detection,413.0
Australia,2015.945277786173,SQL Injection,Government,274.0,271.0,Hacker Group,Unpatched Software,Antivirus,467.0
India,2019.8447405752568,DDoS,Education,287.0,,Hacker Group,Unknown,VPN,344.0
UK,2018.0776171244845,Man-in-the-Middle,Retail,238.0,277.0,Hacker Group,Zero-day,Firewall,337.0
Japan,2017.25938068923,Phishing,Telecommunications,229.0,255.0,Unknown,Zero-day,VPN,375.0
